"","X","state","communityname","fold","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ6","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","RentLowQ","RentMedian","RentHighQ","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","LemasPctOfficDrugUn","ViolentCrimesPerPop"
"1","   1"," 8","Lakewoodcity"," 1","0.19","0.33","0.02","0.90","0.12","0.17","0.34","0.47","0.29","0.32","0.20","1.00","0.37","0.72","0.34","0.60","0.29","0.15","0.43","0.39","0.40","0.39","0.32","0.27","0.27","0.41","0.08","0.19","0.10","0.18","0.48","0.27","0.68","0.23","0.41","0.25","0.52","0.68","0.40","0.75","0.75","0.35","0.55","0.59","0.61","0.56","0.74","0.76","0.04","0.14","0.03","0.24","0.27","0.37","0.39","0.07","0.07","0.08","0.08","0.89","0.06","0.14","0.13","0.33","0.39","0.28","0.55","0.09","0.51","0.5","0.21","0.71","0.52","0.05","0.26","0.65","0.14","0.06","0.22","0.19","0.18","0.36","0.35","0.38","0.34","0.38","0.46","0.25","0.04","0.00","0.12","0.42","0.50","0.51","0.64","0.12","0.26","0.20","0.32","0.20"
"2","   2","53","Tukwilacity"," 1","0.00","0.16","0.12","0.74","0.45","0.07","0.26","0.59","0.35","0.27","0.02","1.00","0.31","0.72","0.11","0.45","0.25","0.29","0.39","0.29","0.37","0.38","0.33","0.16","0.30","0.35","0.01","0.24","0.14","0.24","0.30","0.27","0.73","0.57","0.15","0.42","0.36","1.00","0.63","0.91","1.00","0.29","0.43","0.47","0.60","0.39","0.46","0.53","0.00","0.24","0.01","0.52","0.62","0.64","0.63","0.25","0.27","0.25","0.23","0.84","0.10","0.16","0.10","0.17","0.29","0.17","0.26","0.20","0.82","0.0","0.02","0.79","0.24","0.02","0.25","0.65","0.16","0.00","0.21","0.20","0.21","0.42","0.38","0.40","0.37","0.29","0.32","0.18","0.00","0.00","0.21","0.50","0.34","0.60","0.52","0.02","0.12","0.45","0.00","0.67"
"3","   3","24","Aberdeentown"," 1","0.00","0.42","0.49","0.56","0.17","0.04","0.39","0.47","0.28","0.32","0.00","0.00","0.30","0.58","0.19","0.39","0.38","0.40","0.84","0.28","0.27","0.29","0.27","0.07","0.29","0.39","0.01","0.27","0.27","0.43","0.19","0.36","0.58","0.32","0.29","0.49","0.32","0.63","0.41","0.71","0.70","0.45","0.42","0.44","0.43","0.43","0.71","0.67","0.01","0.46","0.00","0.07","0.06","0.15","0.19","0.02","0.02","0.04","0.05","0.88","0.04","0.20","0.20","0.46","0.52","0.43","0.42","0.15","0.51","0.5","0.01","0.86","0.41","0.29","0.30","0.52","0.47","0.45","0.18","0.17","0.16","0.27","0.29","0.27","0.31","0.48","0.39","0.28","0.00","0.00","0.14","0.49","0.54","0.67","0.56","0.01","0.21","0.02","0.00","0.43"
"4","   4","34","Willingborotownship"," 1","0.04","0.77","1.00","0.08","0.12","0.10","0.51","0.50","0.34","0.21","0.06","1.00","0.58","0.89","0.21","0.43","0.36","0.20","0.82","0.51","0.36","0.40","0.39","0.16","0.25","0.44","0.01","0.10","0.09","0.25","0.31","0.33","0.71","0.36","0.45","0.37","0.39","0.34","0.45","0.49","0.44","0.75","0.65","0.54","0.83","0.65","0.85","0.86","0.03","0.33","0.02","0.11","0.20","0.30","0.31","0.05","0.08","0.11","0.11","0.81","0.08","0.56","0.62","0.85","0.77","1.00","0.94","0.12","0.01","0.5","0.01","0.97","0.96","0.60","0.47","0.52","0.11","0.11","0.24","0.21","0.19","0.75","0.70","0.77","0.89","0.63","0.51","0.47","0.00","0.00","0.19","0.30","0.73","0.64","0.65","0.02","0.39","0.28","0.00","0.12"
"5","   5","42","Bethlehemtownship"," 1","0.01","0.55","0.02","0.95","0.09","0.05","0.38","0.38","0.23","0.36","0.02","0.90","0.50","0.72","0.16","0.68","0.44","0.11","0.71","0.46","0.43","0.41","0.28","0.00","0.74","0.48","0.00","0.06","0.25","0.30","0.33","0.12","0.65","0.67","0.38","0.42","0.46","0.22","0.27","0.20","0.21","0.51","0.91","0.91","0.89","0.85","0.40","0.60","0.00","0.06","0.00","0.03","0.07","0.20","0.27","0.01","0.02","0.04","0.05","0.88","0.05","0.16","0.19","0.59","0.60","0.37","0.89","0.02","0.19","0.5","0.01","0.89","0.87","0.04","0.55","0.73","0.05","0.14","0.31","0.31","0.30","0.40","0.36","0.38","0.38","0.22","0.51","0.21","0.00","0.00","0.11","0.72","0.64","0.61","0.53","0.04","0.09","0.02","0.00","0.03"
"6","   6"," 6","SouthPasadenacity"," 1","0.02","0.28","0.06","0.54","1.00","0.25","0.31","0.48","0.27","0.37","0.04","1.00","0.52","0.68","0.20","0.61","0.28","0.15","0.25","0.62","0.72","0.76","0.77","0.28","0.52","0.60","0.01","0.12","0.13","0.12","0.80","0.10","0.65","0.19","0.77","0.06","0.91","0.49","0.57","0.61","0.58","0.44","0.62","0.69","0.87","0.53","0.30","0.43","0.00","0.11","0.04","0.30","0.35","0.43","0.47","0.50","0.50","0.56","0.57","0.45","0.28","0.25","0.19","0.29","0.53","0.18","0.39","0.26","0.73","0.0","0.02","0.84","0.30","0.16","0.28","0.25","0.02","0.05","0.94","1.00","1.00","0.67","0.63","0.68","0.62","0.47","0.59","0.11","0.00","0.00","0.70","0.42","0.49","0.73","0.64","0.01","0.58","0.10","0.00","0.14"
"7","   8"," 6","Selmacity"," 1","0.01","0.74","0.03","0.46","0.20","1.00","0.52","0.55","0.36","0.35","0.00","0.00","0.16","0.44","1.00","0.23","0.53","0.97","0.41","0.15","0.10","0.12","0.08","0.17","0.27","0.21","0.03","0.64","0.96","0.82","0.12","1.00","0.26","0.43","0.34","0.71","0.18","0.38","0.47","0.59","0.52","0.78","0.45","0.43","0.34","0.34","0.29","0.27","0.02","0.50","0.02","0.50","0.59","0.65","0.59","0.69","0.72","0.71","0.60","0.12","0.93","0.74","0.75","0.80","0.68","0.92","0.39","0.89","0.66","0.0","0.01","0.91","0.46","0.22","0.37","0.60","0.28","0.23","0.15","0.13","0.13","0.21","0.24","0.25","0.24","0.64","0.59","0.28","0.00","0.00","0.59","0.58","0.52","0.79","0.78","0.01","0.33","0.00","0.00","0.55"
"8","   9","21","Hendersoncity"," 1","0.03","0.34","0.20","0.84","0.02","0.00","0.38","0.45","0.28","0.48","0.04","1.00","0.17","0.47","0.36","0.34","0.55","0.48","0.43","0.21","0.23","0.23","0.19","0.10","0.26","0.22","0.04","0.45","0.52","0.59","0.17","0.55","0.43","0.59","0.36","0.64","0.29","0.62","0.26","0.66","0.67","0.37","0.51","0.55","0.58","0.47","0.65","0.64","0.02","0.29","0.00","0.12","0.09","0.07","0.13","0.00","0.00","0.00","0.00","0.99","0.01","0.12","0.12","0.35","0.38","0.33","0.50","0.10","0.64","0.0","0.04","0.72","0.49","0.05","0.49","0.50","0.57","0.22","0.07","0.07","0.08","0.14","0.17","0.16","0.15","0.38","0.13","0.36","0.01","0.00","0.01","0.78","0.48","0.79","0.75","0.04","0.17","0.04","0.00","0.53"
"9","  11"," 6","DalyCitycity"," 1","0.13","0.71","0.15","0.07","1.00","0.41","0.40","0.52","0.35","0.33","0.15","1.00","0.49","0.71","0.16","0.47","0.36","0.40","0.45","0.47","0.33","0.37","0.40","0.22","0.32","0.38","0.06","0.18","0.33","0.36","0.38","0.32","0.62","0.20","0.29","0.35","0.30","0.41","0.55","0.46","0.46","0.85","0.62","0.56","0.68","0.62","0.83","0.81","0.05","0.30","0.28","0.36","0.43","0.52","0.57","1.00","1.00","1.00","1.00","0.00","0.58","0.88","0.82","0.77","0.79","0.72","0.49","0.91","0.63","0.0","0.06","0.87","0.49","0.10","0.20","0.46","0.05","0.28","0.75","0.74","0.70","0.73","0.67","0.82","0.67","0.58","0.67","0.19","0.07","0.14","1.00","0.35","0.53","0.39","0.62","0.02","1.00","1.00","0.00","0.24"
"10","  12","36","RockvilleCentrevillage"," 1","0.02","0.46","0.08","0.91","0.07","0.10","0.34","0.36","0.22","0.57","0.04","1.00","0.72","0.53","0.23","0.74","0.63","0.17","0.59","0.80","0.72","0.71","0.36","0.70","0.43","0.41","0.01","0.07","0.18","0.19","0.72","0.18","0.51","0.18","0.67","0.13","0.79","0.18","0.40","0.24","0.22","0.59","0.85","0.87","0.89","0.78","0.31","0.39","0.01","0.14","0.01","0.11","0.17","0.21","0.27","0.05","0.07","0.08","0.10","0.82","0.08","0.34","0.31","0.50","0.64","0.20","0.72","0.09","0.41","0.5","0.02","0.89","0.62","0.07","0.43","0.06","0.02","0.09","0.74","0.76","0.79","0.45","0.54","0.65","0.49","0.39","0.51","0.68","0.01","0.00","0.20","0.88","0.91","0.90","0.93","0.01","0.63","1.00","0.00","0.08"
